iter	Logloss
0	0.676161393
1	0.6610346089
2	0.6467663943
3	0.6337121514
4	0.6229314295
5	0.6122917046
6	0.6030176598
7	0.5945614086
8	0.5872469542
9	0.5817575777
10	0.5765484646
11	0.5717490519
12	0.5674212772
13	0.5628512046
14	0.5594246704
15	0.5563896798
16	0.5536350237
17	0.5507962814
18	0.5484775423
19	0.545734777
20	0.5436820857
21	0.54152723
22	0.5398078147
23	0.5378283652
24	0.5360904307
25	0.5346914999
26	0.5333934646
27	0.531929309
28	0.5307568946
29	0.5297708429
30	0.5285161756
31	0.5274439036
32	0.5264242612
33	0.5256095866
34	0.5244654464
35	0.5234342681
36	0.522401309
37	0.52176296
38	0.5207665386
39	0.5199386838
40	0.5190455013
41	0.5185811252
42	0.5179296464
43	0.5172523827
44	0.516461686
45	0.51577876
46	0.5149818647
47	0.5144141599
48	0.5138259102
49	0.5134420565
50	0.5128860315
51	0.5123993631
52	0.5119281231
53	0.5114807488
54	0.5106435259
55	0.509833641
56	0.5094806104
57	0.5091661975
58	0.5089174935
59	0.5083430183
60	0.5080872429
61	0.5076233321
62	0.5072320838
63	0.5065268206
64	0.5062620584
65	0.506020024
66	0.5056962112
67	0.5053178162
68	0.5049778108
69	0.5047414835
70	0.5044725895
71	0.5042365761
72	0.5040374368
73	0.5038312505
74	0.503367422
75	0.5030790295
76	0.5028712043
77	0.5026847351
78	0.5025545451
79	0.5023598329
80	0.5020515981
81	0.5017606566
82	0.5015577948
83	0.5013589359
84	0.5009792943
85	0.5008107726
86	0.5005356837
87	0.5001948206
88	0.499893545
89	0.4996148289
90	0.4994027672
91	0.4991179141
92	0.498741784
93	0.4986501014
94	0.4985810194
95	0.4983046916
96	0.4980869078
97	0.4980198142
98	0.4978047869
99	0.4976574978
100	0.4974507715
101	0.4973845449
102	0.4972943387
103	0.4971191063
104	0.4969433376
105	0.4968603858
106	0.4966278482
107	0.4965083232
108	0.4962279346
109	0.4960526648
110	0.4958898951
111	0.4958137792
112	0.495699438
113	0.4955566714
114	0.495467093
115	0.4953221063
116	0.4952640368
117	0.4952244063
118	0.4950720792
119	0.4949405698
120	0.4948003073
121	0.4946936205
122	0.4945632493
123	0.494420165
124	0.4942308067
125	0.494064421
126	0.4939010626
127	0.4937541324
128	0.4935780329
129	0.493359184
130	0.4932292481
131	0.4930365859
132	0.4928134781
133	0.4926246001
134	0.4925292286
135	0.4923600286
136	0.4922526952
137	0.4921066097
138	0.4919798956
139	0.4917290051
140	0.4915275804
141	0.4914924722
142	0.4911997442
143	0.4910893817
144	0.4910065999
145	0.4907550591
146	0.490704702
147	0.4906591195
148	0.4904998743
149	0.4904360771
150	0.4903381417
151	0.4902752677
152	0.4900597096
153	0.489892952
154	0.4898332437
155	0.4897423908
156	0.4896808829
157	0.4896553222
158	0.4894705554
159	0.4893954281
160	0.4893225619
161	0.4892775905
162	0.4890228056
163	0.4889860884
164	0.4888649824
165	0.488756141
166	0.4887022071
167	0.4884269201
168	0.4883121455
169	0.4882553524
170	0.4880721423
171	0.4879469774
172	0.4878970874
173	0.4878306404
174	0.487714111
175	0.4876012835
176	0.4875134524
177	0.4874439388
178	0.4873875792
179	0.4872970104
180	0.4872051279
181	0.4870818111
182	0.4869519164
183	0.4868697719
184	0.4867532088
185	0.4866656954
186	0.4865541088
187	0.4864533871
188	0.4864166045
189	0.486278407
190	0.4862143015
191	0.4861283821
192	0.4859913338
193	0.4858804667
194	0.4857351941
195	0.4855763749
196	0.485515549
197	0.4853788315
198	0.4851946441
199	0.4851454269
